sic,total_companies,active_companies
29201,1073,916
29202,333,295
29203,328,290
2921,3,0
2922,47,14
2923,3,2
2924,55,16
2931,2,1
29310,667,584
2932,4,0
29320,2846,2519
2940,28,7
2942,1,1
2943,6,2
2952,13,1
2954,13,5
2955,3,0
2956,19,2
2960,2,0
2971,11,4
3001,2,0
3002,13,3
30110,528,468
30120,876,774
30200,305,213
30300,1162,1036
30400,40,35
30910,193,169
30920,388,353
30990,1027,899
31010,1425,1266
31020,3201,2773
31030,489,420
31090,7569,6626
3110,26,7
3130,11,4
3140,1,0
3150,5,1
3161,1,0
3162,73,13
3210,23,3
32110,31,26
32120,4159,3853
32130,527,473
3220,14,0
32200,559,521
3230,16,2
32300,2394,2158
32401,398,355
32409,2096,1914
32500,3395,3125
32910,67,63
32990,20496,18553
3310,6,1
33110,1926,1714
33120,6158,5657
33130,1039,922
33140,6136,5511
33150,2647,2411
33160,3214,2629
33170,4512,3785
33190,7567,6847
3320,21,2
33200,5708,5159
3330,2,0
3340,3,0
3410,24,7
3420,17,8
3430,18,6
3511,49,11
35110,11479,10960
3512,3,0
35120,855,784
35130,1578,1425
35140,3241,2799
3520,6,3
35210,501,469
35220,484,433
35230,826,704
3530,11,4
35300,1924,1738
3541,3,1
3542,1,0
3550,9,0
36000,1815,1674
3611,43,10
3612,38,12
3613,4,2
3614,82,16
3615,4,1
3622,3,0
3630,1,0
3640,3,0
3650,8,0
3662,1,0
3663,214,39
37000,1596,1430
3710,11,0
3720,25,2
38110,7470,6519
38120,856,777
38210,2826,2541
38220,710,646
38310,226,204
38320,2949,2565
39000,4175,3700
4010,7,2
4011,2,0
4012,2,0
4013,1,0
4020,2,1
4022,1,0
4030,1,1
4100,3,0
41100,121359,109382
41201,46504,40220
41202,105932,92493
42110,5377,4484
42120,4122,2819
42130,583,506
42210,1185,1063
42220,5380,4744
42910,1656,1483
42990,20537,17967
43110,2543,2086
43120,6014,5206
43130,634,585
43210,61727,55642
43220,54400,49145
43290,42205,37268
43310,10488,9096
43320,24816,22157
43330,13124,11483
43341,18660,16332
43342,8525,7510
43390,61903,54308
43910,19394,17145
43991,7564,6621
43999,70751,61996
4511,68,14
45111,5117,4554
45112,41315,35561
4512,4,0
45190,7408,6484
45200,63210,56922
4521,1552,239
4522,97,17
4523,30,1
4524,10,0
4525,468,81
4531,284,44
45310,7195,6440
4532,60,23
45320,14816,13304
4533,297,66
4534,180,11
45400,4091,3645
4541,43,6
4542,146,31
4543,62,9
4544,198,28
4545,195,18
4550,62,14
46110,1754,1562
46120,2264,2010
46130,4415,3921
46140,4832,4382
46150,5486,4712
46160,10940,9395
46170,4311,3721
46180,10223,9166
46190,24509,21488
46210,1356,1232
46220,1688,1537
46230,345,308
46240,325,282
46310,5194,4531
46320,3864,3317
46330,2081,1808
46341,3095,2533
46342,7470,6640
46350,587,513
46360,1821,1555
46370,4503,4020
46380,4355,3918
46390,6947,6106
46410,5458,4762
46420,18034,15491
46431,433,388
46439,1706,1492
46440,797,699
46450,9987,8803
46460,4625,4223
46470,3996,3508
46480,3788,3318
46491,298,270
46499,7888,6984
46510,5136,4442
46520,7664,6625
46610,1984,1806
46620,1259,1114
46630,1009,902
46640,186,162
46650,1194,995
46660,895,786
46690,6523,5982
46711,1065,932
46719,1284,1175
46720,2530,2231
46730,4447,3932
46740,4441,4002
46750,2867,2613
46760,4482,3997
46770,2296,1983
46900,47436,41300
47110,38421,33905
47190,41127,36214
47210,4756,4160
47220,5926,5238
47230,1924,1711
47240,8021,7065
47250,6156,5426
47260,2963,2512
47290,13135,11548
47300,2502,2340
47410,4703,4079
47421,5860,5133
47429,2910,2494
47430,1467,1320
47510,4785,4217
47520,3811,3486
47530,5981,5330
47540,4140,3598
47591,1058,967
47599,11765,10227
47610,2576,2377
47620,2629,2306
47630,1232,1119
47640,10801,9762
47650,5221,4669
47710,32466,28472
47721,3540,3020
47722,1948,1725
47730,8073,7764
47741,996,961
47749,3309,3010
47750,11821,10493
47760,8373,7525
47770,9420,8527
47781,2980,2724
47782,4058,3927
47789,14810,13295
47791,2674,2491
47799,3897,3506
47810,3679,3311
47820,7077,6273
47890,8198,7407
47910,214999,192636
47990,56353,49057
49100,750,667
49200,701,592
49311,219,183
49319,1315,1148
49320,21107,18869
49390,10605,9398
49410,77251,63396
49420,8350,7227
49500,97,84
5010,231,69
50100,1159,1081
5020,80,14
50200,3777,3470
5030,40,6
50300,444,423
5040,4,1
50400,225,201
5050,26,4
51101,726,655
51102,1877,1720
5111,6,1
5112,4,0
5113,35,8
5114,50,5
5115,8,1
5116,4,0
5117,8,0
5118,12,0
5119,15,0
5121,2,1
51210,2737,2464
5122,4,0
51220,170,150
5131,7,3
5132,51,4
5133,5,0
5134,36,1
5135,1,0
5136,3,0
5137,1,0
5138,12,0
5139,45,3
5141,27,1
5142,67,2
5143,54,1
5144,12,1
5145,6,1
5146,7,1
5147,55,3
5151,4,2
5152,6,0
5153,13,2
5154,6,0
5155,3,0
5156,21,0
5157,16,2
5164,2,0
5165,1,1
5170,10,3
5181,3,1
5182,1,0
5184,25,1
5185,9,1
5186,25,1
5187,2,0
5188,1,0
5190,272,11
52101,698,629
52102,653,578
52103,9967,8444
5211,26,1
5212,81,3
5221,7,1
52211,95,81
52212,109,91
